24-11-2013
dd-mm-yyyy, questions, answers, %answered, users, visitors/day

22-08-2013,9079,15335,88,26119,7407
23-08-2013,9094,15354,88,26167,7585
24-08-2013,9096,15376,89,26181,7755
25-08-2013,9105,15382,89,26201,7800
26-08-2013,9120,15410,88,26232,7800
27-08-2013,9131,15432,89,26258,7518
28-08-2013,9152,15458,89,26295,7800
29-08-2013,9178,15491,88,26346,7794
30-08-2013,9201,15528,88,26384,8082
31-08-2013,9192,15567,89,26437,8290
01-09-2013,9205,15592,88,26454,8290
02-09-2013,9213,15609,89,26486,8290
03-09-2013,9235,15643,88,26561,7857
04-09-2013,9242,15652,89,26574,7965
05-09-2013,9258,15681,89,26620,8063
07-09-2013,9290,15730,88,26715,8075
08-09-2013,9296,15746,88,26731,8287
09-09-2013,9299,15759,88,26759,8287
10-09-2013,9317,15800,88,26805,7999
11-09-2013,9333,15822,88,26850,7963
12-09-2013,9349,15851,88,26883,7963
13-09-2013,9363,15879,88,26919,8466
14-09-2013,9377,15905,88,26969,8466
15-09-2013,9381,15913,88,26972,8466
16-09-2013,9413,15949,88,27015,8466
17-09-2013,9426,15968,88,27041,8871
18-09-2013,9439,15995,88,27082,8934
19-09-2013,9462,16032,88,27113,8905
20-09-2013,9477,16056,88,27142,8997
21-09-2013,9494,16070,88,27183,9174
25-09-2013,9548,16158,88,27294,9676
26-09-2013,9569,16190,88,27333,9739
27-09-2013,9584,16209,88,27362,9827
28-09-2013,9589,16214,88,27375,9827
29-09-2013,9605,16243,88,27407,9827
30-09-2013,9627,16275,88,27454,9827
01-10-2013,9635,16284,88,27467,9827
02-10-2013,9671,16336,88,27540,9912
03-10-2013,9678,16343,88,27557,9912
04-10-2013,9696,16371,88,27608,9887
05-10-2013,9712,16398,88,27645,10531
06-10-2013,9730,16417,88,27668,10846
07-10-2013,9740,16445,88,27701,10846
08-10-2013,9759,16465,88,27758,10714
09-10-2013,9775,16487,88,27806,10820
10-10-2013,9798,16515,88,27870,10846
11-10-2013,9819,16539,88,27904,10723
12-10-2013,9823,16537,88,27914,10723
13-10-2013,9835,16567,88,27945,10933
14-10-2013,9854,16590,88,27984,10933
15-10-2013,9868,16610,88,28013,10305
16-10-2013,9887,16636,88,28053,10584
17-10-2013,9902,16668,88,28130,11062
23-10-2013,10001,16816,88,28363,11073
24-10-2013,10018,16842,88,28406,11073
25-10-2013,10032,16864,88,28448,11073
26-10-2013,10049,16892,88,28481,11073
27-10-2013,10055,16914,88,28511,11278
28-10-2013,10087,16948,88,28563,11278
29-10-2013,10108,16977,88,28600,11774
30-10-2013,10126,17013,88,28646,11952
02-11-2013,10176,17114,88,28747,12051
03-11-2013,10185,17122,88,28759,12051
04-11-2013,10201,17155,88,28791,12051
05-11-2013,10214,17170,88,28818,11302
06-11-2013,10240,17242,88,28992,11759
07-11-2013,10260,17263,88,29044,11636
08-11-2013,10271,17305,88,29078,11564
09-11-2013,10275,17315,88,29104,11759
10-11-2013,10280,17324,88,29116,11759
11-11-2013,10301,17339,88,29169,11759
12-11-2013,10320,17352,88,29210,11658
13-11-2013,10346,17380,88,29264,11759
14-11-2013,10365,17414,88,29309,11759
15-11-2013,10387,17446,88,29352,11947
16-11-2013,10394,17467,88,29372,12420
17-11-2013,10397,17487,89,29385,12420
18-11-2013,10433,17543,89,29436,12420
19-11-2013,10450,17601,89,29490,12744
20-11-2013,10446,17628,90,29551,12598
21-11-2013,10449,17659,90,29595,12664
22-11-2013,10462,17687,90,29624,12664
23-11-2013,10468,17717,90,29657,13257
24-11-2013,10476,17705,91,29659,13257
